TIMESTAMP,FORECAST
20180301 01:00,0.704359491614468
20180301 02:00,0.698346739402978
20180301 03:00,0.686940298991771
20180301 04:00,0.638737053204692
20180301 05:00,0.489884194335303
20180301 06:00,0.508614138004247
20180301 07:00,0.632042560288113
20180301 08:00,0.613818551909702
20180301 09:00,0.688325483895965
20180301 10:00,0.689556130911597
20180301 11:00,0.768259698616255
20180301 12:00,0.68350364540629
20180301 13:00,0.677194404086947
20180301 14:00,0.693133030622504
20180301 15:00,0.770895874337874
20180301 16:00,0.689040746264112
20180301 17:00,0.650486543327531
20180301 18:00,0.604518275528619
20180301 19:00,0.62103921442798
20180301 20:00,0.60359473792289
20180301 21:00,0.581513326284579
20180301 22:00,0.490430335747959
20180301 23:00,0.593949291989957
20180302 00:00,0.4659166022019
20180302 01:00,0.623314857555413
20180302 02:00,0.424337268081444
20180302 03:00,0.45090171829554
20180302 04:00,0.446678207941829
20180302 05:00,0.471952306911163
20180302 06:00,0.60793459265227
20180302 07:00,0.628899948726967
20180302 08:00,0.593182600120883
20180302 09:00,0.616197973036832
20180302 10:00,0.666334838879208
20180302 11:00,0.662087064303904
20180302 12:00,0.649844482491033
20180302 13:00,0.614929737042984
20180302 14:00,0.654799117676304
20180302 15:00,0.644703627726386
20180302 16:00,0.484448700617321
20180302 17:00,0.440161340112098
20180302 18:00,0.420011855916811
20180302 19:00,0.410646269386006
20180302 20:00,0.597795823220906
20180302 21:00,0.602557528324098
20180302 22:00,0.627716034358996
20180302 23:00,0.598159038850582
20180303 00:00,0.488372949014319
20180303 01:00,0.538326773728584
20180303 02:00,0.477201311667784
20180303 03:00,0.464486587603744
20180303 04:00,0.483882462580794
20180303 05:00,0.497617935111691
20180303 06:00,0.505408565361648
20180303 07:00,0.494547601814304
20180303 08:00,0.483597932658767
20180303 09:00,0.456214679241242
20180303 10:00,0.372823512476998
20180303 11:00,0.374034681174293
20180303 12:00,0.583760410872315
20180303 13:00,0.596605431424734
20180303 14:00,0.600218234595899
20180303 15:00,0.576030314165535
20180303 16:00,0.443771907785901
20180303 17:00,0.442748854085323
20180303 18:00,0.441190511150153
20180303 19:00,0.46102648675253
20180303 20:00,0.507612982221729
20180303 21:00,0.633814168923208
20180303 22:00,0.654115180688393
